finding_id,status,evidence,change_made,file_touched,test_or_check,remaining_limitation
A4-01,confirmed,summary.json strength_sweep gives relative_gas_in_place_error 0.003157 at J=0.05 and 0.012636 at J=0.2; 0.012636 is above the 0.01 gate. Cross-confirmed; severity disputed.,"Both sentences rewritten: J=0.05 at +0.32 percent is the only row below the gate, J=0.2 at +1.26 percent is stated as above it, and the reversal argument now rests on one row.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,"The reversal advice now rests on a single sweep row, which is thinner evidence than the original two-row statement implied."
A4-02,confirmed,PLAN.md:289 scopes the 1 percent row to 'the delivered small-noise demonstration'; PLAN.md:282 calls these proposed project gates to be scaled and justified per case. A4 is a noise-free structural counterexample and never rescaled it.,"Every citation of the gate now states that it is borrowed from the delivered small-noise demonstration, that it is a project demonstration gate, and that clearing it is not evidence of reservoir-interpretation or development-decision adequacy. Noted that only the holdout half is pre-registered for this case.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,"A4 still does not declare a rescaled gate of its own. The honest position recorded is that the comparison is a borrowed reference point, not a case-scored criterion."
A4-03,narrowed,docs/evidence/matbal.md:515 records a field case where no water production plus a straight p/Z suggested a closed tank while the extrapolation was about 16 percent high. Cross-check argues medium rather than high.,"The reversal paragraph now carries four qualifications: low water production does not establish a closed tank, a stable p/Z estimate is not evidence of correctness, the two rows relied on are where the Fetkovich model is least defensible, and terminal invaded pore volume is not field-observable.",cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,No quantitative residual-bias bound is attached to the reversal trigger; the memo states the order of magnitude left unexcluded rather than a computed bound.
A4-04,confirmed,No run in the case produces a direction for trapped gas or for average-pressure sampling bias; summary.json establishes the direction of the aquifer effect only.,"Both 'worse, not better' arguments relabelled as untested arguments. The pressure-sampling bullet now states that the opposite sign is available and that the tank model has no areal gradient to decide it. The 'both omissions make the case conservative' summary sentence is withdrawn.",cases/A4_misleading_fit_counterexample/report.md; cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,The sign of average-pressure sampling bias in a real water drive is still unknown and would need an areal model to settle.
A4-05,narrowed,"run.py:393-411 runs the progressive fits noise-free; protocol.md:136 declares E1-E5, E7, E8 noise-free and E6 as the only noisy experiment. No noisy prefix-drift experiment exists.",The memo's third action now states explicitly that the power and size of the drift diagnostic under measurement noise were never measured in this case and that the claim it needs less pressure accuracy than the curvature test is an untested argument.,cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,The drift diagnostic's null rate and power under noise remain unmeasured. Measuring them needs a new pre-registered experiment and a new run ID; none was added.
A4-06,confirmed,"run.py:393-411 loops HISTORY_FRACTIONS over nested prefixes of a single simulate() call per J; summary.json progressive_fits n_points confirms 11, 20, 30, 39, 49 of the same 49 observations.","'five independent prefix fits' replaced with 'five nested prefix fits of one noise-free history' in the evidence table, and the drift section now says the same.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,
A4-07,confirmed,"grep over run.py finds no bootstrap, Deming or York call; none of the three methods was run in this case.","The directional claim that bootstrapping, weighted regression or errors-in-variables 'would all narrow or shift' the interval is withdrawn. The paragraph now states that none was run, claims no direction, and rests on the argument that a model-structure error is not representable inside the fitted model.",cases/A4_misleading_fit_counterexample/decision_memo.md,python3 scripts/check.py,What those estimators would actually do to this interval is still unmeasured in this repository.
A4-08,confirmed,"docs/evidence/matbal.md:267-271 gives the Cole plot construction from the same p, Z and Gp series the p/Z fit uses; the modified form adds Wp*Bw. In every A4 exhibit but E8 the produced water is identically zero.","The recommendation now names the metered water-production record as the new observation and states that a Cole or pot-aquifer plot is a re-plot of the same history, informative only to the extent water is metered, and that neither plot was run in this case.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,"Neither diagnostic plot has been implemented or exercised in this case, so this repository has no measurement of their power."
A4-09,confirmed,run.py:649 and summary.json water_production.produced_water_fraction = 0.3 make Wp*Bw exactly 0.3*We by declaration in the E8 variant.,"The second action now states the three quantities (Wp at standard conditions, Wp*Bw in reservoir volume, We) and the two conversions between them, and records that in this case's own variant the produced record understates the influx by a factor of 3.33 and bounds it from below.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,"The produced-water fraction remains a declared bookkeeping number, not a relative-permeability calculation, so the water-gas ratios are order-of-magnitude only."
A4-10,confirmed,summary.json gives aquifer_time_constant_days 360000 and 90000 for J=0.05 and J=0.2 against a 4383-day horizon; docs/evidence/aquifer.md:36 and :586 record that Fetkovich neglects the early transient and is valid only for t >> t_pss.,"The reversal paragraph now records that the two rows it rests on are the members of the sweep where the Fetkovich pseudosteady assumption is least defensible, and that a transient van Everdingen-Hurst aquifer is the change most likely to move them. The same note is added to the report's reversal-conditions bullet.",cases/A4_misleading_fit_counterexample/decision_memo.md; cases/A4_misleading_fit_counterexample/report.md,python3 scripts/check.py,"No t_pss can be computed for this generator, because the aquifer is specified only by the lumped group ct*Wi and J. The caveat is qualitative."
